user,timestamp,hours,project,logged_time
Melisandre,2018-11-22 00:00:00,0.58,ops and admin,00:34:47
Melisandre,2018-11-22 00:00:00,6.0,learning,06:00:00
Melisandre,2018-11-22 00:00:00,2.0,projects,02:00:00
Robert,2018-11-22 00:00:00,1.5,engineering,01:30:00
Daenerys,2018-11-21 14:49:00,1.0,blog ideas,01:00:00
Daenerys,2018-11-21 14:49:00,1.0,projects,01:00:00
Daenerys,2018-11-21 14:49:00,5.0,projects,05:00:00
Cersei,2018-11-21 14:44:00,6.5,blog ideas,06:30:00
Cersei,2018-11-21 14:44:00,1.5,learning,01:30:00
Tyrion,2018-11-21 14:25:00,2.13,bizdev,02:07:47
Tyrion,2018-11-21 14:25:00,1.12,learning,01:07:12
Tyrion,2018-11-21 14:25:00,0.95,website,00:57:00
Tyrion,2018-11-21 14:25:00,0.2,blog ideas,00:12:00
Tyrion,2018-11-21 14:25:00,3.37,bizdev,03:22:12
Tyrion,2018-11-21 14:25:00,0.93,bizdev,00:55:48
Tyrion,2018-11-21 14:25:00,0.4,projects,00:24:00
Theon,2018-11-21 14:23:00,5.5,projects,05:30:00
Theon,2018-11-21 14:23:00,0.5,blog ideas,00:30:00
Theon,2018-11-21 14:23:00,1.0,learning,01:00:00
Khal,2018-11-21 13:48:00,7.0,projects,07:00:00
Khal,2018-11-21 13:48:00,1.0,projects,01:00:00
Jeor,2018-11-21 10:14:00,7.0,projects,07:00:00
Jeor,2018-11-21 10:14:00,1.5,bizdev,01:30:00
Viserys,2018-11-21 10:04:00,0.47,blog ideas,00:28:11
Viserys,2018-11-21 10:04:00,0.52,projects,00:31:12
Viserys,2018-11-21 10:04:00,3.49,projects,03:29:24
Viserys,2018-11-21 10:04:00,1.58,learning,01:34:48
Viserys,2018-11-21 10:04:00,1.12,projects,01:07:12
Viserys,2018-11-21 10:04:00,0.27,ops and admin,00:16:12
Jorah,2018-11-21 00:00:00,0.25,projects,00:15:00
Melisandre,2018-11-21 00:00:00,2.77,projects,02:46:12
Melisandre,2018-11-21 00:00:00,0.5,projects,00:30:00
Catelyn,2018-11-21 00:00:00,1.0,ops and admin,01:00:00
Catelyn,2018-11-21 00:00:00,2.0,culture and management,02:00:00
Catelyn,2018-11-21 00:00:00,3.0,projects,03:00:00
Stannis,2018-11-21 00:00:00,5.4,learning,05:24:00
Melisandre,2018-11-21 00:00:00,0.43,ops and admin,00:25:48
Jorah,2018-11-21 00:00:00,1.25,projects,01:15:00
Jorah,2018-11-21 00:00:00,0.5,events,00:30:00
Hound,2018-11-21 00:00:00,1.0,ops and admin,01:00:00
Joffrey,2018-11-21 00:00:00,1.75,bizdev,01:45:00
Joffrey,2018-11-21 00:00:00,1.0,learning,01:00:00
Joffrey,2018-11-21 00:00:00,2.75,projects,02:45:00
Joffrey,2018-11-21 00:00:00,1.5,projects,01:30:00
Bran,2018-11-21 00:00:00,8.1,projects,08:05:59
Sansa,2018-11-21 00:00:00,2.0,projects,02:00:00
Sansa,2018-11-21 00:00:00,1.0,projects,01:00:00
Sansa,2018-11-21 00:00:00,1.0,projects,01:00:00
Melisandre,2018-11-21 00:00:00,1.17,learning,01:10:11
Melisandre,2018-11-21 00:00:00,0.95,learning,00:57:00
Melisandre,2018-11-21 00:00:00,0.47,culture and management,00:28:11
Melisandre,2018-11-21 00:00:00,0.78,projects,00:46:48
Melisandre,2018-11-21 00:00:00,0.28,ops and admin,00:16:48
Sansa,2018-11-21 00:00:00,1.5,learning,01:30:00
Robert,2018-11-21 00:00:00,2.0,transit,02:00:00
Robert,2018-11-21 00:00:00,1.5,bizdev,01:30:00
Robb,2018-11-21 00:00:00,5.5,projects,05:30:00
Robb,2018-11-21 00:00:00,1.5,learning,01:30:00
Sansa,2018-11-21 00:00:00,1.0,website,01:00:00
Littlefinger,2018-11-21 00:00:00,4.5,recruitment,04:30:00
Littlefinger,2018-11-21 00:00:00,2.0,events,02:00:00
Littlefinger,2018-11-21 00:00:00,3.0,ops and admin,03:00:00
Jorah,2018-11-21 00:00:00,1.0,culture and management,01:00:00
Jorah,2018-11-21 00:00:00,2.0,bizdev,02:00:00
Sansa,2018-11-21 00:00:00,1.0,bizdev,01:00:00
Sansa,2018-11-21 00:00:00,2.0,projects,02:00:00
Stannis,2018-11-21 00:00:00,1.57,learning,01:34:12
Arya,2018-11-21 00:00:00,6.0,projects,06:00:00
Hound,2018-11-21 00:00:00,2.0,finance,02:00:00
Hound,2018-11-21 00:00:00,0.5,ops and admin,00:30:00
Jaime,2018-11-21 00:00:00,6.0,projects,06:00:00
Jaime,2018-11-21 00:00:00,1.0,projects,01:00:00
Hound,2018-11-21 00:00:00,1.5,ops and admin,01:30:00
Robert,2018-11-21 00:00:00,2.0,bizdev,02:00:00
Robert,2018-11-21 00:00:00,0.5,events,00:30:00
Jorah,2018-11-21 00:00:00,0.75,blog ideas,00:45:00
Jorah,2018-11-21 00:00:00,0.5,projects,00:30:00
Hound,2018-11-21 00:00:00,1.5,finance,01:30:00
Hound,2018-11-21 00:00:00,1.0,ops and admin,01:00:00
Jorah,2018-11-21 00:00:00,1.5,blog ideas,01:30:00
Robert,2018-11-21 00:00:00,2.0,ops and admin,02:00:00
Theon,2018-11-20 15:50:00,8.0,projects,08:00:00
Jorah,2018-11-20 15:18:00,1.5,products,01:30:00
Jeor,2018-11-20 15:04:00,3.0,bizdev,03:00:00
Jeor,2018-11-20 15:04:00,3.5,projects,03:30:00
Jeor,2018-11-20 15:04:00,1.5,projects,01:30:00
Jeor,2018-11-20 15:04:00,1.0,data storytelling,01:00:00
Khal,2018-11-20 12:41:00,5.0,projects,05:00:00
Khal,2018-11-20 12:41:00,3.0,projects,03:00:00
Viserys,2018-11-20 12:29:00,0.98,blog ideas,00:58:47
Viserys,2018-11-20 12:29:00,1.4,learning,01:23:59
Viserys,2018-11-20 12:29:00,0.81,learning,00:48:36
Viserys,2018-11-20 12:29:00,0.14,projects,00:08:24
Viserys,2018-11-20 12:29:00,3.21,blog ideas,03:12:35
Viserys,2018-11-20 12:29:00,0.27,projects,00:16:12
Viserys,2018-11-20 12:29:00,0.13,ops and admin,00:07:48
Viserys,2018-11-20 12:29:00,0.45,projects,00:27:00
Ned,2018-11-20 12:00:00,3.0,culture and management,03:00:00
Ned,2018-11-20 12:00:00,2.5,bizdev,02:30:00
Ned,2018-11-20 12:00:00,2.0,bizdev,02:00:00
Cersei,2018-11-20 11:52:00,8.0,blog ideas,08:00:00
Robb,2018-11-20 10:40:00,1.0,events,01:00:00
Robb,2018-11-20 10:40:00,6.0,projects,06:00:00
Jorah,2018-11-20 10:39:00,1.25,blog ideas,01:15:00
Jorah,2018-11-20 10:39:00,0.5,projects,00:30:00
